bitfinexvp25, 0, 6000, 11422323190360988.00000000000000000, 11422320400260644.00000000000000000, 1, 2827540674.20846652984619141, 199.99990098196568%, ["bitfinexeos1","cypherglasss","eos42freedom","eosauthority","eoscanadacom","eoscleanerbp","eosdacserver","eosdotwikibp","eosdublinwow","eosfishrocks","eosgenblockp","eoshuobipool","eoslaomaocom","eosliquideos","eosnairobike","eosriobrazil","eosswedenorg","eostribeprod","eosyskoreabp","jedaaaaaaaaa","libertyblock","starteosiobp","teamgreymass"]
bitfinexvp31, 0, 6000, 11422323190360988.00000000000000000, 11422320400260644.00000000000000000, 1, 2827540674.20846652984619141, 199.99990098196568%, ["argentinaeos","bitfinexeos1","blocksmithio","cypherglasss","eos42freedom","eosamsterdam","eoscafeblock","eoscanadacom","eoscleanerbp","eosdotwikibp","eosdublinwow","eosgenblockp","eoshuobipool","eosiosg11111","eosliquideos","eosnairobike","eosnationftw","eosnewyorkio","eosriobrazil","eostribeprod","eosukblocpro","jedaaaaaaaaa","libertyblock","starteosiobp","superoneiobp","teamgreymass","zbeosbp11111"]
bitfinexvp23, 0, 6000, 11422323190360988.00000000000000000, 11422320400260644.00000000000000000, 1, 2827540674.20846652984619141, 199.99990098196568%, ["bitfinexeos1","blocksmithio","cypherglasss","eos42freedom","eosamsterdam","eosauthority","eoscafeblock","eoscanadacom","eoscleanerbp","eosdacserver","eosdotwikibp","eosfishrocks","eosgenblockp","eoshuobipool","eosliquideos","eosnairobike","eosnewyorkio","eosriobrazil","eosswedenorg","eosvenezuela","jedaaaaaaaaa","libertyblock","moreisfuture","starteosiobp","superoneiobp","zbeosbp11111"]
bitfinexvp33, 0, 6000, 11422323190360988.00000000000000000, 11422320400260644.00000000000000000, 1, 2827540674.20846652984619141, 199.99990098196568%, ["argentinaeos","bitfinexeos1","blockmatrix1","blocksmithio","cypherglasss","eos42freedom","eosantpoolbp","eosauthority","eoscanadacom","eoscleanerbp","eosdacserver","eosdotwikibp","eosfishrocks","eosgenblockp","eoshuobipool","eosiosg11111","eoslaomaocom","eosliquideos","eosnationftw","eosnewyorkio","eosriobrazil","eostitanprod","eostribeprod","jedaaaaaaaaa","libertyblock","starteosiobp","superoneiobp","teamgreymass","zbeosbp11111"]
bitfinexvp22, 0, 6000, 11422323190360988.00000000000000000, 11422320400260644.00000000000000000, 1, 2827540674.20846652984619141, 199.99990098196568%, ["argentinaeos","bitfinexeos1","blocksmithio","eos42freedom","eosamsterdam","eosantpoolbp","eoscanadacom","eoscleanerbp","eosdotwikibp","eosdublinwow","eosfishrocks","eosgenblockp","eosnairobike","eosnationftw","eostitanprod","eostribeprod","jedaaaaaaaaa","libertyblock","starteosiobp","teamgreymass","zbeosbp11111"]
bitfinexvp12, 0, 0, 11575594096350476.00000000000000000, 11575594096350476.00000000000000000, 1, 0, 0%, ["bitfinexeos1","blockmatrix1","blocksmithio","cypherglasss","eosantpoolbp","eosauthority","eoscafeblock","eoscanadacom","eoscleanerbp","eoscybexiobp","eosdotwikibp","eosgenblockp","eoshuobipool","eosiosg11111","eostitanprod","eostribeprod","jedaaaaaaaaa","libertyblock","moreisfuture","oraclegogogo","starteosiobp","superoneiobp","zbeosbp11111"]
bitfinexvp14, 0, 6000, 11575596886450820.00000000000000000, 11575594096350476.00000000000000000, 1, 2827540674.20846652984619141, 199.99990229307357%, ["bitfinexeos1","blockmatrix1","cypherglasss","eos42freedom","eosauthority","eoscanadacom","eoscleanerbp","eosdacserver","eosdotwikibp","eosfishrocks","eosgenblockp","eoshuobipool","eosliquideos","eosmetaliobp","eosnationftw","eosnewyorkio","eosriobrazil","eosswedenorg","eostitanprod","eostribeprod","eosvenezuela","helloeoscnbp","jedaaaaaaaaa","libertyblock","starteosiobp","teamgreymass"]
haydinruhage, 0, 35000, 10616237253166326.00000000000000000, 10616220759179060.00000000000000000, 1, 16493987266.21605491638183594, 199.99937853831838%, ["acroeos12345","atticlabeosb","bitfinexeos1","cochainworld","eosantpoolbp","eosbeijingbp","eosbixinboot","eoscybexiobp","eoseouldotio","eosfishrocks","eosflytomars","eoshenzhenio","eoshuobipool","eoslambdacom","eoslaomaocom","eosmotioneos","eosnodeonebp","eospaceioeos","eosunion1111","eosyskoreabp","hexlantttttt","jedaaaaaaaaa","jrrcryptoeos","keoskorea111","moreisfuture","qxeosqxeosbp","starteosiobp","zbeosbp11111"]
huobiproxy33, 0, 0, 9425154902222828.00000000000000000, 9425154902222828.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","blockgenicbp","btccpooleos1","cochainworld","eos42freedom","eosbeijingbp","eoscannonchn","eoseouldotio","eosflytomars","eosgenblockp","eoshenzhenio","eoshuobipool","eosiomeetone","eosiosg11111","eoslambdacom","eospaceioeos","eospacificbp","eosstorebest","eosuestciobp","eosvolgabpru","helloeoscnbp","starteosiobp","zbeosbp11111"]
huobiproxy22, 0, 0, 14137742014098212.00000000000000000, 14137742014098212.00000000000000000, 1, 0, 0%, ["bitfinexeos1","blockgenicbp","btccpooleos1","cochainworld","eosbeijingbp","eoscannonchn","eoschaintech","eoscybexiobp","eosflytomars","eosgenblockp","eoshuobipool","eosiosg11111","eoslaomaocom","eospaceioeos","eospacificbp","eosstorebest","eostitanprod","eosuestciobp","eosvolgabpru","jedaaaaaaaaa","qxeosqxeosbp","starteosiobp","zbeosbp11111"]
