bithumbshiny, 0, 33022000, 0.00000000000000000, 0.00000000000000000, 0, []
gi3tiojtguge, 0, 226711783898, 0.00000000000000000, 0.00000000000000000, 0, []
okexoffiline, undefined, undefined, undefined, undefined, undefined, undefined
bitfinexcw55, 0, 6000, 0.00000000000000000, 0.00000000000000000, 0, []
hezdeobug4ge, 0, 3999, 0.00000000000000000, 0.00000000000000000, 0, []
hezdeobugage, 0, 10862, 0.00000000000000000, 0.00000000000000000, 0, []
gm3tombuguge, 0, 1900000, 120115705357933344.00000000000000000, 0.00000000000000000, 0, []
ebekjijzrdxk, undefined, undefined, undefined, undefined, undefined, undefined
g4ydgmjug4ge, 0, 164369143646, 0.00000000000000000, 0.00000000000000000, 0, []
binancecleos, 0, 2000, 0.00000000000000000, 0.00000000000000000, 0, []
winterishere, 0, 100000, 0.00000000000000000, 0.00000000000000000, 0, []
hezdeobuhege, 0, 3262, 1225541197.19825124740600586, 0.00000000000000000, 0, ["bp2bp2bp2bp2","eosbeijingbp","eoscannonchn","eosfishrocks","eosiosg11111","eosliquideos","eosstorebest","zbeosbp11111"]
vuniyuoxoeub, 0, 30100000, 0.00000000000000000, 0.00000000000000000, 0, []
eosio.saving, undefined, undefined, undefined, undefined, undefined, undefined
ha2tsmzqhege, 0, 117623036702, 47236916202742392.00000000000000000, 0.00000000000000000, 0, ["eoshuobipool","zbeosbp11111"]
guzdkmrtgage, 0, 103001896501, 47897604470649664.00000000000000000, 0.00000000000000000, 0, ["argentinaeos","aus1genereos","cryptolions1","cypherglasss","eos42freedom","eosamsterdam","eosasia11111","eosauthority","eoscafeblock","eoscanadacom","eoscannonchn","eosdacserver","eosflareiobp","eosiomeetone","eosisgravity","eosliquideos","eosnewyorkio","eosriobrazil","eosswedenorg","eostitanprod","eosyskoreabp","hkeoshkeosbp","libertyblock","teamgreymass"]
okbtothemoon, 0, 6954000, 0.00000000000000000, 0.00000000000000000, 0, []
gy2dsnjugige, 0, 74999908776, 0.00000000000000000, 0.00000000000000000, 0, []
bpvoter.one, 0, 11225000, 0.00000000000000000, 0.00000000000000000, 0, []
giytemzyhege, 0, 1980000, 0.00000000000000000, 0.00000000000000000, 0, []
se4xjymvrkcg, 0, 58986840000, 27429867092457532.00000000000000000, 0.00000000000000000, 0, ["acroeos12345","argentinaeos","bitfinexeos1","eosasia11111","eoscandyone1","eoslaomaocom","eosonoeosono","eospacificbp","eosriobrazil","eosuestciobp","eoswinwinwin","helloeoscnbp","oraclegogogo","teamgreymass"]
vdxjamspwcsu, eoshuobifund, 50000041000, 23250855262757380.00000000000000000, 0.00000000000000000, 0, []
ycheosforzb4, undefined, undefined, undefined, undefined, undefined, undefined
dunamueoshot, 0, 11100001, 0.00000000000000000, 0.00000000000000000, 0, []
x5nvb1tucqk2, 0, 45450000000, 20579005489292392.00000000000000000, 0.00000000000000000, 0, ["acroeos12345","bitfinexeos1","eosasia11111","eoscandyone1","eoscannonchn","eosflytomars","eoslaomaocom","eosmotioneos","eosonoeosono","eoswinwinwin","unlimitedeos"]
gyzdgmbqgage, 0, 42966272100, 19454414728280100.00000000000000000, 0.00000000000000000, 0, ["atticlabeosb","cochainworld","eosbixinboot","eoslaomaocom","eospaceioeos","eospacificbp","eosuestciobp","zbeosbp11111"]
wngsfcarhzkt, 0, 41686920000, 18875145335790820.00000000000000000, 0.00000000000000000, 0, ["acroeos12345","argentinaeos","atticlabeosb","eosasia11111","eosauthority","eoscanadacom","eoscandyone1","eoscannonchn","eosfishrocks","eosflytomars","eoslaomaocom","eosmotioneos","eosnewyorkio","eosonoeosono","eosriobrazil","eosstorebest","eosswedenorg","eoswinwinwin","jedaaaaaaaaa","sheleaders21","starteosiobp","teamgreymass","unlimitedeos"]
aspovhegmfke, madeofstarks, 40000000000, 18111335964173724.00000000000000000, 0.00000000000000000, 0, []
bitfinexcw13, bitfinexvp13, 40000000000, 15434125461800634.00000000000000000, 0.00000000000000000, 0, []
vwgumvhjzkvn, 0, 1100000, 0.00000000000000000, 0.00000000000000000, 0, []
g4ydomrxhege, 0, 30060000, 0.00000000000000000, 0.00000000000000000, 0, []
chainceoneos, 0, 10000000, 0.00000000000000000, 0.00000000000000000, 0, []
ha4tqojrgige, 0, 33655342560, 15238580402337864.00000000000000000, 0.00000000000000000, 0, ["atticlabeosb","cochainworld","eosantpoolbp","eosbeijingbp","eoscannonchn","eosfishrocks","eoshuobipool","eosiomeetone","eosiosg11111","eosisgravity","eoslambdacom","eoslaomaocom","eosliquideos","eosmotioneos","eospaceioeos","eosstorebest","eossv12eossv","eosvolgabpru","eoswenzhoubp","jedaaaaaaaaa","qxeosqxeosbp","starteosiobp","unlimitedeos","zbeosbp11111"]
eosio.unregd, undefined, undefined, undefined, undefined, undefined, undefined
gqztgmrwgene, 0, 32860321108, 0.00000000000000000, 0.00000000000000000, 0, []
gqztgmjzgene, 0, 32707230654, 0.00000000000000000, 0.00000000000000000, 0, []
eostothemoon, willshotmoon, 32500075341, 14138643630576382.00000000000000000, 0.00000000000000000, 0, []
bitfinexcw11, bitfinexvp11, 30000000000, 11575594096350476.00000000000000000, 0.00000000000000000, 0, []
vtlihyjbselb, hptproxy2222, 30000041000, 13950520783928700.00000000000000000, 0.00000000000000000, 0, []
vcgqdyepghel, divinerapier, 30000041000, 13950520783928700.00000000000000000, 0.00000000000000000, 0, []
vqudinrrqkus, hptproxy1111, 30000041000, 13950520783928700.00000000000000000, 0.00000000000000000, 0, []
